D5	49899	300
C#5	50199	299
C#5	50499	299
B4	50799	300
B4	51099	299
B4	51699	300
C#5	51999	299
E5	52299	299
D5	52599	300
D5	52899	299
G4	53499	300
B4	53799	299
B4	54099	600
A4	54699	299
G#5	54999	600
F#5	55599	299
F#5	55899	299
E5	56499	299
A4	56799	299
A4	57399	299
G4	57699	299
A4	58299	299
G4	58599	299
A4	59199	299
F#5	59499	799
E5	60299	299
A4	60599	300
F#4	60899	299
A4	61499	299
F#4	61799	299
A4	62399	299
E5	62699	799
D5	63499	299
A4	63799	299
G4	64099	299
A4	64699	300
G4	64999	299
A4	65599	300
F#5	65899	800
E5	66699	299
A4	66999	299
D5	67299	299
E5	67599	299
F#5	67899	300
A5	68199	599
G5	68799	300
F#5	69099	599
E5	69699	300
D5	69999	299
A4	70599	300
G4	70899	299
A4	71499	300
G4	71799	299
A4	72399	300
F#5	72699	799
E5	73499	299
A4	73799	299
F#4	74099	299
A4	74699	300
F#4	74999	299
A4	75599	300
E5	75899	799
D5	76699	299
A4	76999	300
G4	77300	299
A4	77899	300
G4	78200	299
A4	78800	300
F#5	79100	799
E5	79899	299
A4	80199	299
D5	80499	299
E5	80799	299
F#5	81099	300
A5	81399	599
G5	81999	300
F#5	82300	599
E5	82899	300
A#4	83200	299
A#4	83800	300
D5	84100	800
D#5	84900	299
D5	85200	299
C5	85500	299
A#4	85800	299
A4	86100	300
G4	86400	599
G4	87000	300
C5	87300	299
C5	87900	300
F4	88350	149
G4	88500	450
F4	88950	150
F4	89100	900
F4	90600	300
D5	90900	800
D#5	91700	299
D5	92000	299
C5	92300	299
A#4	92600	299
A4	92900	300
G4	93200	599
G4	93800	300
F#4	94100	299
F#4	94700	300
G4	95300	299
A#4	95600	300
A4	95900	799
A4	97000	299
G4	97300	299
A4	97900	300
G4	98200	299
A4	98800	300
F#5	99100	800
E5	99900	299
A4	100200	299
F#4	100500	299
A4	101100	300
F#4	101400	299
A4	102000	300
E5	102300	800
D5	103100	299
A4	103400	299
G4	103700	299
A4	104300	300
G4	104600	299
A4	105200	300
F#5	105500	799
E5	106300	299
A4	106600	299
D5	106900	299
E5	107200	299
F#5	107500	300
A5	107800	599
G5	108400	300
F#5	108700	599
E5	109300	300
D5	109600	299
D4	110200	299
B4	110500	299
B4	111100	300
B4	111400	299
D5	111700	450
C5	112150	150
B4	112300	299
D4	113800	300
B4	114100	299
B4	114700	600
E5	115300	450
D5	115750	149
C5	115900	299
C5	117700	599
C5	118300	300
C5	118600	299
F#5	118900	450
E5	119350	150
G5	119500	299
B4	119800	150
B4	121000	300
A4	121300	299
A4	121900	300
A#4	122200	299
A#4	122800	300
B4	123100	800
D4	124200	299
B4	124500	299
B4	125100	300
B4	125400	299
D5	125700	450
C5	126150	150
B4	126300	299
D4	127800	299
B4	128100	300
B4	128700	599
E5	129300	449
D5	129750	150
C5	129900	300
C5	131700	599
C5	132300	300
C5	132600	300
F#5	132900	449
E5	133350	150
G5	133500	300
B4	133800	149
B4	135000	300
A4	135300	300
A4	135900	300
A#4	136200	300
A#4	136800	300
B4	137100	800
B4	138200	149
C5	138350	150
B4	138500	150
A4	138650	150
G4	138800	149
A4	138950	150
B4	139100	150
A4	139250	150
A4	139400	150
G4	139550	150
F#4	139700	149
G4	139850	150
D5	140000	750
C5	140750	150
C5	140900	299
C5	141200	300
B4	141500	299
B4	141800	300
B4	142100	300
G4	142400	299
B4	142700	300
A4	143000	150
G4	143150	150
F#4	143300	149
G4	143450	150
G5	143600	750
F#5	144350	150
F#5	144500	299
E5	144800	300
D5	145100	299
D5	145400	300
B4	145700	300
G4	146000	299
B4	146300	300
A4	146600	150
G4	146750	150
F#4	146900	149
G4	147050	150
D5	147200	750
C5	147950	150
C5	148100	299
C5	148400	300
B4	148700	299
B4	149000	300
B4	149300	150
A4	149450	150
G#4	149600	149
A4	149750	150
B4	149900	150
A4	150050	150
A4	150200	150
G4	150350	150
B4	150500	149
G5	150950	150
F#5	151100	449
E5	151550	150
C5	151700	150
A4	151850	150
G4	152000	300
B4	152900	150
A4	153050	150
G4	153200	149
A4	153350	150
B4	153500	150
A4	153650	149
A4	153800	150
G4	153950	150
F#4	154100	149
G4	154250	150
D5	154400	750
C5	155150	150
C5	155300	299
C5	155600	300
B4	155900	299
B4	156200	300
B4	156500	300
G4	156800	299
B4	157100	300
A4	157400	150
G4	157550	150
F#4	157700	149
G4	157850	150
G5	158000	750
F#5	158750	150
F#5	158900	299
E5	159200	300
D5	159500	299
D5	159800	300
B4	160100	300
G4	160400	299
B4	160700	300
A4	161000	150
G4	161150	150
F#4	161300	149
G4	161450	150
D5	161600	750
C5	162350	150
C5	162500	299
C5	162800	300
B4	163100	299
B4	163400	300
B4	163700	150
A4	163850	150
G#4	164000	149
A4	164150	150
B4	164300	150
A4	164450	150
A4	164600	150
G4	164750	150
B4	164900	149
G5	165350	150
F#5	165500	449
E5	165950	150
C5	166100	150
A4	166250	150
G4	166400	300
B3	168800	300
B3	169100	150
E4	169250	150
G#4	169400	149
B4	169550	150
E5	169700	599
D#5	170300	300
C#5	170600	299
C5	170900	300
C#5	171200	299
D#5	171500	150
D#5	171800	900
C5	172700	300
C#5	173000	299
D#5	173300	150
D#5	173600	900
A#4	174500	300
B4	174800	299
C#5	175100	300
B4	175400	599
B3	176000	300
B3	176300	150
E4	176450	150
G#4	176600	149
B4	176750	150
G#5	176900	599
F#5	177500	300
E5	177800	299
D#5	178100	300
E5	178400	299
F#5	178700	150
F#5	179000	900
E5	179900	300
G#4	180200	299
C#5	180500	300
B4	180800	300
F#4	181100	299
G#4	181400	300
E4	181700	800
B3	182800	299
B3	183100	150
E4	183250	150
G#4	183400	149
B4	183550	150
E5	183700	599
D#5	184300	300
C#5	184600	299
C5	184900	300
C#5	185200	299
D#5	185500	150
D#5	185800	900
C5	186700	300
C#5	187000	299
D#5	187300	150
D#5	187600	900
A#4	188500	300
B4	188800	299
C#5	189100	300
B4	189400	599
B3	190000	300
B3	190300	150
E4	190450	150
G#4	190600	149
B4	190750	150
G#5	190900	599
F#5	191500	300
E5	191800	299
D#5	192100	300
E5	192400	299
F#5	192700	150
F#5	193000	900
E5	193900	300
D#5	194200	299
C#5	194500	300
C#5	194800	300
C#5	195100	299
C#5	195400	300
C5	195700	300
B4	196900	449
A#4	197350	150
B4	197500	799
B4	198300	449
A#4	198750	150
B4	198900	799
E5	199700	300
G#4	200000	299
A4	200300	449
C#5	200750	150
D#4	200900	300
F#4	201500	299
G#4	201800	300
A4	202100	449
C#5	202550	150
D#4	202700	300
B4	203300	449
A#4	203750	150
B4	203900	800
B4	204700	449
A#4	205150	150
